Menu,Price,Rating,Review,Category
Coca-Cola Cereja,3.9,4.6,780.0,Bebida
Coca-Cola Zero,2.5,4.7,60.0,Bebida
Coca-Cola,2.5,4.7,60.0,Bebida
Coca-Cola,2.5,4.7,18.0,Bebida
Coca-Cola Zero,2.5,4.7,18.0,Bebida
Coca-Cola,2.7,4.3,1890.0,Bebida
Coca-Cola Zero,2.7,4.3,1890.0,Bebida
Coca-Cola 30cl,2.3,4.9,1770.0,Bebida
Coca-Cola Zero 30cl,2.3,4.9,1770.0,Bebida
Coca-Cola 1.5L,3.6,4.9,1770.0,Bebida
Coca-Cola Zero 30cl,2.3,4.9,1770.0,Bebida
Coca-Cola 30cl,2.3,4.9,1770.0,Bebida
Coca-Cola 33cl,2.5,4.7,44.0,Bebida
Coca-Cola Zero 33cl,2.5,4.7,44.0,Bebida
Coca-Cola Zero,3.0,4.4,2760.0,Bebida
Coca-Cola,3.0,4.4,2760.0,Bebida
Coca-Cola 1.5L,3.6,4.7,214.0,Bebida
Coca-Cola Sem Açúcar 1.5L,3.6,4.7,214.0,Bebida
Coca-Cola,2.3,4.7,214.0,Bebida
Coca-Cola Sem Açúcar,2.3,4.7,214.0,Bebida
Coca-Cola 1.5L,3.6,4.6,720.0,Bebida
Coca-Cola Zero 30cl,2.3,4.6,720.0,Bebida
Coca-Cola 30cl,2.3,4.6,720.0,Bebida
Coca-Cola,2.5,4.7,86.0,Bebida
Coca-Cola Zero,2.5,4.7,86.0,Bebida
Coca-Cola Zero 30cl,2.65,4.6,258.0,Bebida
Coca-Cola 30cl,2.65,4.6,258.0,Bebida
Coca-Cola,2.9,4.7,39.0,Bebida
Coca-Cola Zero,2.9,4.7,39.0,Bebida
Coca-Cola,2.9,4.3,307.0,Bebida
Coca-Cola Zero,2.9,4.3,307.0,Bebida
Coca-Cola Zero,2.2,4.2,27.0,Bebida
Coca-Cola,2.2,4.2,27.0,Bebida
Coca-Cola Zero,2.0,4.6,720.0,Bebida
Coca-Cola,2.0,4.6,720.0,Bebida
Coca-Cola,2.5,4.5,24.0,Bebida
Coca-Cola Zero,2.5,4.5,24.0,Bebida
Coca-Cola Sem Açúcar 30cl,2.4,4.3,62.0,Bebida
Coca-Cola 30cl,2.4,4.3,62.0,Bebida
Coca-Cola 20cl,2.5,4.6,366.0,Bebida
Coca-Cola 33cl,2.99,4.7,12.0,Bebida
Coca-Cola Zero 33cl,2.99,4.7,12.0,Bebida
Coca-Cola,2.0,4.9,114.0,Bebida
Coca-Cola Zero,2.0,4.9,114.0,Bebida
Coca-Cola,2.0,4.6,34.0,Bebida
Coca-Cola,2.15,4.8,1100.0,Bebida
Coca-Cola Zero,2.15,4.8,1100.0,Bebida
Coca-Cola,2.0,4.4,405.0,Bebida
Coca-Cola Zero,2.0,4.4,405.0,Bebida
Coca-Cola 33cl,1.99,4.5,1070.0,Bebida
Coca-Cola,2.7,4.5,1810.0,Bebida
Coca-Cola Zero,2.7,4.5,1810.0,Bebida
Coca-Cola,2.3,4.6,88.0,Bebida
Coca-Cola Zero,3.0,4.4,810.0,Bebida
Coca-Cola,3.0,4.4,810.0,Bebida
Coca-Cola 30cl,3.0,4.4,92.0,Bebida
Coca-Cola,1.85,4.8,80.0,Bebida
Coca-Cola 33cl,2.5,4.9,84.0,Bebida
Coca-Cola,2.4,4.7,162.0,Bebida
Coca-Cola Zero,2.4,4.7,162.0,Bebida
Coca-Cola,2.0,3.9,52.0,Bebida
Coca-Cola Zero,2.0,3.9,52.0,Bebida
Coca-Cola,1.49,4.6,123.0,Bebida
Coca-Cola Zero,1.49,4.6,123.0,Bebida
Coca-Cola 1.5L,3.99,4.6,123.0,Bebida
Coca-Cola Zero 1.5L,3.99,4.6,123.0,Bebida
Coca-Cola 33cl,2.59,4.7,14.0,Bebida
Coca-Cola,1.2,3.8,40.0,Bebida
Coca-Cola 33cl,1.8,4.7,7090.0,Bebida
Coca-Cola Zero 33cl,1.8,4.7,7090.0,Bebida
Coca-Cola Zero,2.2,4.5,279.0,Bebida
Coca-Cola,2.2,4.5,279.0,Bebida
Coca-Cola,2.2,4.4,650.0,Bebida
Coca-Cola Zero,2.2,4.4,650.0,Bebida
Coca-Cola Zero 30cl,2.2,4.9,27.0,Bebida
Coca-Cola 1.5L,3.99,4.9,27.0,Bebida
Coca-Cola 30cl,2.2,4.9,27.0,Bebida
Coca-Cola Zero 1.5L,3.9,4.9,27.0,Bebida
Coca-Cola 33cl,2.0,4.3,16.0,Bebida
Coca-Cola Zero 33cl,2.0,4.3,16.0,Bebida
Coca-Cola Zero,1.5,4.5,980.0,Bebida
Coca-Cola,1.5,4.5,980.0,Bebida
Coca-Cola,2.2,4.6,37.0,Bebida
Coca-Cola,2.6,4.6,3230.0,Bebida
Coca-Cola Zero,2.6,4.6,3230.0,Bebida
Coca-Cola 33cl,2.8,4.7,2070.0,Bebida
Coca-Cola Zero 33cl,2.8,4.7,2070.0,Bebida
Coca-Cola 33cl,3.0,4.6,2100.0,Bebida
Coca-Cola Zero 33cl,3.0,4.6,2100.0,Bebida
Coca-Cola 1.5L,3.7,4.6,2100.0,Bebida
Coca-Cola Zero 1.5L,3.7,4.6,2100.0,Bebida
Coca-Cola 1.5L,3.7,4.6,2100.0,Bebida
Coca-Cola Zero 1.5L,3.7,4.6,2100.0,Bebida
Coca-Cola Zero,2.4,4.7,2820.0,Bebida
Coca-Cola,2.4,4.7,2820.0,Bebida
Coca-Cola 30cl,2.2,4.1,72.0,Bebida
Coca-Cola Sem Açúcar 30cl,2.2,4.1,72.0,Bebida
Coca-Cola 30cl,2.5,3.5,29.0,Bebida
Coca-Cola Zero,2.4,4.9,183.0,Bebida
Coca-Cola,2.4,4.9,183.0,Bebida
Coca-Cola 33cl,1.95,4.7,79.0,Bebida
Coca-Cola Zero 33cl,1.95,4.7,79.0,Bebida
Coca-Cola Zero,2.5,4.6,349.0,Bebida
Coca-Cola,2.5,4.6,349.0,Bebida
Coca-Cola,2.5,4.7,840.0,Bebida
Coca-Cola Zero,2.5,4.7,840.0,Bebida
Coca-Cola,2.2,4.6,40.0,Bebida
Coca-Cola Zero,1.99,4.6,40.0,Bebida
Coca-Cola Zero,3.5,4.8,13.0,Bebida
Coca-Cola,3.5,4.8,13.0,Bebida
Coca-Cola 33cl,1.99,4.6,19.0,Bebida
Coca-Cola Zero 33cl,1.99,4.6,19.0,Bebida
Coca-Cola,2.5,4.6,8840.0,Bebida
Coca-Cola,2.5,4.6,8840.0,Bebida
Coca-Cola,3.5,4.8,6400.0,Bebida
Coca-Cola Zero 33cl,1.5,4.6,34.0,Bebida
Coca-Cola 33cl,1.5,4.6,34.0,Bebida
Coca-Cola,2.2,4.5,41.0,Bebida
Coca-Cola,2.43,4.6,251.0,Bebida
Coca-Cola Zero,2.43,4.6,251.0,Bebida
Coca-Cola Zero,2.1,4.4,800.0,Bebida
Coca-Cola,2.1,4.4,800.0,Bebida
Coca-Cola,2.5,5.0,12.0,Bebida
Coca-Cola Zero,2.5,5.0,12.0,Bebida
Coca-Cola,2.0,4.6,65.0,Bebida
Coca-Cola Zero,2.0,4.6,65.0,Bebida
Coca-Cola 33cl,2.0,4.8,261.0,Bebida
Coca-Cola Zero 33cl,2.0,4.8,261.0,Bebida
Coca-Cola Zero,2.2,4.5,24.0,Bebida
Coca-Cola,2.2,4.5,24.0,Bebida
Coca-Cola 33cl,1.99,4.0,46.0,Bebida
Coca-Cola Zero,2.5,4.9,3190.0,Bebida
Coca-Cola,2.5,4.9,3190.0,Bebida
Coca-Cola Zero,2.3,3.2,12.0,Bebida
Coca-Cola,2.3,3.2,12.0,Bebida
Coca-Cola 33cl,2.2,4.7,187.0,Bebida
Coca-Cola Zero 33cl,2.2,4.7,187.0,Bebida
Coca-Cola 1.5L,3.2,4.7,187.0,Bebida
Coca-Cola,2.0,4.5,211.0,Bebida
Coca-Cola 1.5L,3.5,4.5,211.0,Bebida
Coca-Cola Zero,2.9,4.2,1830.0,Bebida
Coca-Cola,2.9,4.2,1830.0,Bebida
Coca-Cola,2.1,4.8,92.0,Bebida
Coca-Cola Zero,2.1,4.8,92.0,Bebida
Coca-Cola,2.15,4.5,452.0,Bebida
Coca-Cola Zero,2.15,4.5,452.0,Bebida
Coca-Cola Zero,2.75,4.6,193.0,Bebida
Coca-Cola,2.75,4.6,193.0,Bebida
Coca-Cola 1L,4.0,4.4,118.0,Bebida
Coca-Cola 33cl,2.5,4.4,118.0,Bebida
Coca-Cola Zero 33cl,2.5,4.4,118.0,Bebida
Coca-Cola Zero 1L,4.0,4.4,118.0,Bebida
Coca-Cola 1.5L,3.99,3.9,180.0,Bebida
Coca-Cola 30cl,1.99,3.9,180.0,Bebida
Coca-Cola Zero 30cl,1.99,3.9,180.0,Bebida
Coca-Cola 1L,2.7,4.6,2680.0,Bebida
Coca-Cola Zero 33cl,1.7,4.6,2680.0,Bebida
Coca-Cola 33cl,1.7,4.6,2680.0,Bebida
Coca-Cola 33cl,2.0,4.9,43.0,Bebida
Coca-Cola,3.0,4.6,4900.0,Bebida
Coca-Cola Zero,3.0,4.6,4900.0,Bebida
Coca-Cola 33cl,2.3,4.3,16.0,Bebida
Coca-Cola 30cl,2.8,4.7,190.0,Bebida
Coca-Cola Sem Açúcar 30cl,2.8,4.7,190.0,Bebida
Coca-Cola,1.9,4.6,34.0,Bebida
Coca-Cola Zero 33cl,1.9,4.6,34.0,Bebida
Coca-Cola,3.0,4.6,1180.0,Bebida
Coca-Cola 33cl,2.0,4.7,26.0,Bebida
Coca-Cola Zero 33cl,2.0,4.7,26.0,Bebida
Coca-Cola 1L,3.0,4.9,13.0,Bebida
Coca-Cola 33cl,1.8,4.9,13.0,Bebida
Coca-Cola 33cl,1.8,4.5,191.0,Bebida
Coca-Cola Zero 33cl,1.8,4.5,191.0,Bebida
Coca-Cola 1L,2.8,4.5,191.0,Bebida
Coca-Cola,2.7,4.5,1410.0,Bebida
Coca-Cola Zero,2.7,4.5,1410.0,Bebida
Coca-Cola Zero,2.9,4.8,4030.0,Bebida
Coca-Cola,2.9,4.8,4030.0,Bebida
Coca-Cola 33cl,3.0,4.9,2470.0,Bebida
Coca-Cola Zero 33cl,3.0,4.9,2470.0,Bebida
Coca-Cola,2.75,4.6,890.0,Bebida
Coca-Cola Zero,2.75,4.6,890.0,Bebida
Coca-Cola,1.99,3.4,67.0,Bebida
Coca-Cola Zero,1.99,3.4,67.0,Bebida
Coca-Cola,2.2,4.6,445.0,Bebida
Coca-Cola Zero,2.2,4.6,445.0,Bebida
Coca-Cola Cereja,2.5,4.6,445.0,Bebida
Coca-Cola 33cl,1.4,4.6,74.0,Bebida
Coca-Cola Zero 33cl,1.4,4.6,74.0,Bebida
Coca-Cola,2.3,4.0,208.0,Bebida
Coca-Cola Zero,2.3,4.0,208.0,Bebida
Coca-Cola,2.5,4.6,239.0,Bebida
Coca-Cola Zero,2.5,4.6,239.0,Bebida
Coca-Cola 1L,3.49,4.3,19.0,Bebida
Coca-Cola 30cl,1.99,4.3,19.0,Bebida
Coca-Cola Zero 1L,3.49,4.3,19.0,Bebida
Coca-Cola Zero 30cl,1.99,4.3,19.0,Bebida
Coca-Cola 1.5L,3.6,4.5,162.0,Bebida
Coca-Cola Zero,2.0,4.5,162.0,Bebida
Coca-Cola,2.0,4.5,162.0,Bebida
Coca-Cola 33cl,1.9,4.4,32.0,Bebida
Coca-Cola Zero 33cl,1.9,4.4,32.0,Bebida
Coca-Cola 1.5L,2.8,4.4,32.0,Bebida
Coca-Cola Zero 33cl,2.2,4.9,32.0,Bebida
Coca-Cola 33cl,2.2,4.9,32.0,Bebida
Coca-Cola 20cl,2.5,4.5,232.0,Bebida
Coca-Cola 1L,3.9,4.5,232.0,Bebida
Coca-Cola Zero,2.5,4.5,232.0,Bebida
Coca-Cola Zero 1L,3.9,4.5,232.0,Bebida
Coca-Cola 33cl,2.2,3.9,110.0,Bebida
Coca-Cola Zero 33cl,2.2,3.9,110.0,Bebida
Coca-Cola,2.7,4.2,23.0,Bebida
Coca-Cola,3.0,4.6,34.0,Bebida
Coca-Cola 33cl,1.19,4.3,780.0,Bebida
Coca-Cola 1L,2.19,4.3,780.0,Bebida
Coca-Cola Zero 1L,2.19,4.3,780.0,Bebida
Coca-Cola Sem Açúcar 33cl,1.19,4.3,780.0,Bebida
Coca-Cola,1.5,4.6,530.0,Bebida
Coca-Cola,1.8,4.5,2160.0,Bebida
Coca-Cola Zero,1.8,4.5,2160.0,Bebida
Coca-Cola 30cl,2.8,4.2,22.0,Bebida
Coca-Cola Sem Açúcar 30cl,2.2,4.2,22.0,Bebida
Coca-Cola Zero,3.0,4.8,7840.0,Bebida
Coca-Cola,3.0,4.8,7840.0,Bebida
Coca-Cola,2.86,4.7,1380.0,Bebida
Coca-Cola Zero,2.86,4.7,1380.0,Bebida
Coca-Cola 33cl,1.9,4.4,61.0,Bebida
Coca-Cola,2.0,4.6,262.0,Bebida
Coca-Cola Zero,2.0,4.6,262.0,Bebida
Coca-Cola 1L,3.5,4.5,318.0,Bebida
Coca-Cola,1.8,4.5,318.0,Bebida
Coca-Cola,2.0,4.7,326.0,Bebida
